Category: All categories

Week,lumber: (United States)
2019-02-03,51
2019-02-10,50
2019-02-17,51
2019-02-24,53
2019-03-03,54
2019-03-10,59
2019-03-17,62
2019-03-24,61
2019-03-31,63
2019-04-07,65
2019-04-14,64
2019-04-21,63
2019-04-28,65
2019-05-05,63
2019-05-12,62
2019-05-19,66
2019-05-26,67
2019-06-02,67
2019-06-09,65
2019-06-16,66
2019-06-23,64
2019-06-30,62
2019-07-07,66
2019-07-14,60
2019-07-21,62
2019-07-28,62
2019-08-04,61
2019-08-11,65
2019-08-18,63
2019-08-25,62
2019-09-01,60
2019-09-08,57
2019-09-15,56
2019-09-22,57
2019-09-29,54
2019-10-06,56
2019-10-13,57
2019-10-20,55
2019-10-27,51
2019-11-03,53
2019-11-10,52
2019-11-17,52
2019-11-24,49
2019-12-01,47
2019-12-08,44
2019-12-15,44
2019-12-22,42
2019-12-29,48
2020-01-05,48
2020-01-12,50
2020-01-19,52
2020-01-26,51
2020-02-02,49
2020-02-09,52
2020-02-16,53
2020-02-23,52
2020-03-01,54
2020-03-08,52
2020-03-15,52
2020-03-22,60
2020-03-29,61
2020-04-05,71
2020-04-12,71
2020-04-19,83
2020-04-26,85
2020-05-03,88
2020-05-10,87
2020-05-17,93
2020-05-24,94
2020-05-31,86
2020-06-07,89
2020-06-14,89
2020-06-21,86
2020-06-28,82
2020-07-05,79
2020-07-12,82
2020-07-19,79
2020-07-26,80
2020-08-02,79
2020-08-09,75
2020-08-16,79
2020-08-23,72
2020-08-30,74
2020-09-06,77
2020-09-13,73
2020-09-20,72
2020-09-27,69
2020-10-04,71
2020-10-11,71
2020-10-18,70
2020-10-25,61
2020-11-01,52
2020-11-08,59
2020-11-15,62
2020-11-22,55
2020-11-29,56
2020-12-06,55
2020-12-13,53
2020-12-20,46
2020-12-27,58
2021-01-03,56
2021-01-10,57
2021-01-17,60
2021-01-24,59
2021-01-31,59
2021-02-07,57
2021-02-14,56
2021-02-21,64
2021-02-28,71
2021-03-07,72
2021-03-14,78
2021-03-21,83
2021-03-28,80
2021-04-04,84
2021-04-11,87
2021-04-18,87
2021-04-25,97
2021-05-02,95
2021-05-09,88
2021-05-16,94
2021-05-23,87
2021-05-30,79
2021-06-06,85
2021-06-13,100
2021-06-20,92
2021-06-27,86
2021-07-04,77
2021-07-11,80
2021-07-18,72
2021-07-25,67
2021-08-01,64
2021-08-08,65
2021-08-15,62
2021-08-22,60
2021-08-29,59
2021-09-05,58
2021-09-12,58
2021-09-19,56
2021-09-26,57
2021-10-03,55
2021-10-10,57
2021-10-17,56
2021-10-24,53
2021-10-31,50
2021-11-07,57
2021-11-14,50
2021-11-21,47
2021-11-28,49
2021-12-05,47
2021-12-12,49
2021-12-19,45
2021-12-26,50
2022-01-02,52
2022-01-09,53
2022-01-16,52
2022-01-23,54
2022-01-30,56
2022-02-06,59
2022-02-13,57
2022-02-20,60
2022-02-27,62
2022-03-06,63
2022-03-13,64
2022-03-20,70
2022-03-27,66
2022-04-03,65
2022-04-10,66
2022-04-17,65
2022-04-24,64
2022-05-01,64
2022-05-08,68
2022-05-15,67
2022-05-22,65
2022-05-29,68
2022-06-05,66
2022-06-12,63
2022-06-19,63
2022-06-26,66
2022-07-03,62
2022-07-10,64
2022-07-17,61
2022-07-24,62
2022-07-31,60
2022-08-07,60
2022-08-14,56
2022-08-21,58
2022-08-28,55
2022-09-04,52
2022-09-11,53
2022-09-18,54
2022-09-25,53
2022-10-02,55
2022-10-09,54
2022-10-16,52
2022-10-23,56
2022-10-30,51
2022-11-06,45
2022-11-13,43
2022-11-20,39
2022-11-27,41
2022-12-04,41
2022-12-11,39
2022-12-18,39
2022-12-25,41
2023-01-01,44
2023-01-08,50
2023-01-15,47
2023-01-22,44
2023-01-29,43
2023-02-05,45
2023-02-12,43
2023-02-19,48
2023-02-26,46
2023-03-05,47
2023-03-12,46
2023-03-19,48
2023-03-26,49
2023-04-02,49
2023-04-09,51
2023-04-16,52
2023-04-23,51
2023-04-30,50
2023-05-07,52
2023-05-14,53
2023-05-21,54
2023-05-28,54
2023-06-04,55
2023-06-11,53
2023-06-18,50
2023-06-25,51
2023-07-02,49
2023-07-09,51
2023-07-16,49
2023-07-23,48
2023-07-30,48
2023-08-06,49
2023-08-13,47
2023-08-20,46
2023-08-27,47
2023-09-03,44
2023-09-10,43
2023-09-17,44
2023-09-24,45
2023-10-01,41
2023-10-08,43
2023-10-15,43
2023-10-22,45
2023-10-29,42
2023-11-05,43
2023-11-12,41
2023-11-19,36
2023-11-26,40
2023-12-03,38
2023-12-10,36
2023-12-17,34
2023-12-24,34
2023-12-31,36
2024-01-07,37
2024-01-14,36
2024-01-21,42
