Category: All categories

Week,NYSE:TREX: (United States)
2019-02-03,24
2019-02-10,29
2019-02-17,15
2019-02-24,19
2019-03-03,10
2019-03-10,8
2019-03-17,8
2019-03-24,16
2019-03-31,12
2019-04-07,26
2019-04-14,0
2019-04-21,11
2019-04-28,25
2019-05-05,8
2019-05-12,24
2019-05-19,20
2019-05-26,13
2019-06-02,17
2019-06-09,10
2019-06-16,18
2019-06-23,5
2019-06-30,9
2019-07-07,13
2019-07-14,11
2019-07-21,8
2019-07-28,32
2019-08-04,19
2019-08-11,7
2019-08-18,26
2019-08-25,13
2019-09-01,15
2019-09-08,13
2019-09-15,0
2019-09-22,13
2019-09-29,7
2019-10-06,6
2019-10-13,0
2019-10-20,8
2019-10-27,34
2019-11-03,0
2019-11-10,10
2019-11-17,25
2019-11-24,0
2019-12-01,8
2019-12-08,12
2019-12-15,29
2019-12-22,8
2019-12-29,7
2020-01-05,19
2020-01-12,20
2020-01-19,16
2020-01-26,23
2020-02-02,13
2020-02-09,32
2020-02-16,16
2020-02-23,34
2020-03-01,22
2020-03-08,17
2020-03-15,29
2020-03-22,21
2020-03-29,15
2020-04-05,17
2020-04-12,19
2020-04-19,39
2020-04-26,25
2020-05-03,33
2020-05-10,25
2020-05-17,19
2020-05-24,18
2020-05-31,13
2020-06-07,30
2020-06-14,23
2020-06-21,14
2020-06-28,22
2020-07-05,15
2020-07-12,13
2020-07-19,12
2020-07-26,26
2020-08-02,48
2020-08-09,40
2020-08-16,44
2020-08-23,37
2020-08-30,80
2020-09-06,20
2020-09-13,100
2020-09-20,39
2020-09-27,20
2020-10-04,22
2020-10-11,38
2020-10-18,11
2020-10-25,18
2020-11-01,22
2020-11-08,29
2020-11-15,44
2020-11-22,11
2020-11-29,32
2020-12-06,20
2020-12-13,24
2020-12-20,19
2020-12-27,16
2021-01-03,17
2021-01-10,22
2021-01-17,17
2021-01-24,34
2021-01-31,37
2021-02-07,41
2021-02-14,37
2021-02-21,31
2021-02-28,27
2021-03-07,29
2021-03-14,20
2021-03-21,24
2021-03-28,16
2021-04-04,21
2021-04-11,17
2021-04-18,23
2021-04-25,30
2021-05-02,11
2021-05-09,29
2021-05-16,15
2021-05-23,15
2021-05-30,25
2021-06-06,23
2021-06-13,9
2021-06-20,17
2021-06-27,11
2021-07-04,13
2021-07-11,26
2021-07-18,13
2021-07-25,14
2021-08-01,25
2021-08-08,23
2021-08-15,14
2021-08-22,11
2021-08-29,30
2021-09-05,0
2021-09-12,11
2021-09-19,0
2021-09-26,0
2021-10-03,15
2021-10-10,8
2021-10-17,12
2021-10-24,14
2021-10-31,26
2021-11-07,41
2021-11-14,17
2021-11-21,7
2021-11-28,12
2021-12-05,15
2021-12-12,13
2021-12-19,17
2021-12-26,16
2022-01-02,16
2022-01-09,23
2022-01-16,15
2022-01-23,10
2022-01-30,30
2022-02-06,29
2022-02-13,24
2022-02-20,24
2022-02-27,43
2022-03-06,38
2022-03-13,26
2022-03-20,28
2022-03-27,34
2022-04-03,27
2022-04-10,23
2022-04-17,28
2022-04-24,27
2022-05-01,29
2022-05-08,45
2022-05-15,20
2022-05-22,17
2022-05-29,6
2022-06-05,6
2022-06-12,21
2022-06-19,15
2022-06-26,17
2022-07-03,25
2022-07-10,16
2022-07-17,14
2022-07-24,13
2022-07-31,4
2022-08-07,35
2022-08-14,14
2022-08-21,20
2022-08-28,27
2022-09-04,16
2022-09-11,23
2022-09-18,12
2022-09-25,9
2022-10-02,9
2022-10-09,18
2022-10-16,14
2022-10-23,15
2022-10-30,21
2022-11-06,8
2022-11-13,13
2022-11-20,10
2022-11-27,0
2022-12-04,4
2022-12-11,9
2022-12-18,0
2022-12-25,16
2023-01-01,12
2023-01-08,8
2023-01-15,16
2023-01-22,15
2023-01-29,15
2023-02-05,10
2023-02-12,10
2023-02-19,17
2023-02-26,19
2023-03-05,8
2023-03-12,20
2023-03-19,18
2023-03-26,17
2023-04-02,15
2023-04-09,14
2023-04-16,15
2023-04-23,11
2023-04-30,4
2023-05-07,38
2023-05-14,14
2023-05-21,11
2023-05-28,5
2023-06-04,11
2023-06-11,9
2023-06-18,8
2023-06-25,8
2023-07-02,6
2023-07-09,20
2023-07-16,7
2023-07-23,12
2023-07-30,30
2023-08-06,27
2023-08-13,15
2023-08-20,12
2023-08-27,0
2023-09-03,18
2023-09-10,6
2023-09-17,7
2023-09-24,5
2023-10-01,0
2023-10-08,9
2023-10-15,12
2023-10-22,16
2023-10-29,27
2023-11-05,12
2023-11-12,9
2023-11-19,11
2023-11-26,16
2023-12-03,14
2023-12-10,16
2023-12-17,12
2023-12-24,16
2023-12-31,12
2024-01-07,10
2024-01-14,13
2024-01-21,18
